"id","down_time_train","interval_giving","idle_train","travel_time","crew_down_time","crew_down_time_plan","intermediate_down_time","route_id","sender_id","receiver_id","real_wagon_loading","real_train_weight_gross","real_train_wight_net","cargo_type_id","empty_types_id","down_time","axis_count"
24,"0.583333","0.0","4.95","-7.6","2.4","-2.050008",NULL,7506,109,3825,62,"1635.0","0.0",1141,0,"4.95",248
32,"2.002778","0.0","26.0","-17.666667",NULL,NULL,NULL,7502,505,131,70,"1657.9","0.0",1141,0,"26.0",280
33,"2.666667","0.0","2.283333","2.966667",NULL,NULL,NULL,7503,132,131,71,"1681.0","0.0",1141,0,"2.283333",284
34,"2.0","0.0","6.533333","3.466667",NULL,"0.9",NULL,7503,82,131,71,"1681.0","0.0",1141,0,"6.533333",284
35,"3.0","0.0","3.65","3.183333",NULL,NULL,NULL,7503,132,131,67,"1583.0","0.0",1141,0,"3.65",268
36,"2.0","0.0","3.05","2.866667",NULL,NULL,NULL,7503,132,131,71,"1683.0","0.0",1141,0,"3.05",284
37,"5.416667","0.0","3.083333","3.666667",NULL,NULL,NULL,7503,132,131,71,"1681.0","0.0",1141,0,"3.083333",284
38,"2.5","0.0","2.85","3.566667",NULL,NULL,NULL,7503,132,131,71,"1685.0","0.0",1141,0,"2.85",284
40,"0.55","0.0","1.333333","3.283333",NULL,NULL,NULL,7496,131,132,67,"6274.3","4689.0",5229,1,"1.333333",268
42,"0.516667","0.0","4.333333","4.15",NULL,NULL,NULL,7497,241,82,67,"6275.0","4688.0",5611,1,"4.333333",268
43,"0.533333","0.0","10.1","3.45",NULL,NULL,NULL,7496,131,132,67,"6272.2","4687.5",5229,1,"10.1",268
44,"0.45","0.0","1.166667","3.466667",NULL,NULL,NULL,7496,131,132,67,"6274.7","4688.0",5229,1,"1.166667",268
45,"0.533333","0.0","1.05","5.583333",NULL,"1.433328",NULL,7497,241,82,67,"6273.0","4686.0",5611,1,"1.05",268
46,"0.516667","0.0","1.833333","3.65",NULL,NULL,NULL,7496,131,132,67,"6275.9","4688.0",5229,1,"1.833333",268
